x;y;total_temperature
0.019899037;-0.0025061327;7599.6523
0.020236;-0.0028018865;7708.7412
0.026302826;-0.0027991282;7749.6113
0.026640104;-0.0025031432;7730.4604
0.026977357;-0.0022071714;7358.9033
0.027314585;-0.0019112232;7436.2993
0.027651768;-0.0016152873;7414.9585
0.027988909;-0.0013193726;7516.21
0.028326554;-0.0010234842;7804.98
0.019225147;-0.0016185138;7530.4258
0.019562196;-0.0019143951;7510.252
0.020236168;-0.0025060074;7622.5791
0.020573108;-0.0028017482;7712.5898
0.020910023;-0.0030974513;7601.9277
0.025965676;-0.002799372;7748.9927
0.026302952;-0.0025033816;7731.1318
0.026640214;-0.0022074031;7449.98
0.026977453;-0.0019114432;7394.062
0.027314659;-0.0016155062;7340.9204
0.02765182;-0.0013195828;7100.8809
0.027988942;-0.001023686;7601.8115
0.028326565;-0.00072781707;7826.8809
0.019562352;-0.0016184356;7545.3018
0.019899365;-0.0019143001;7471.3594
0.020573281;-0.0025058824;7632.0688
0.020910196;-0.0028016095;7712.3218
0.025628546;-0.0027996048;7745.9712
0.025965815;-0.0025036191;7724.3872
0.026303079;-0.0022076343;7468.042
0.026640326;-0.0019116635;7394.5273
0.02697755;-0.0016157185;7307.7881
0.027314734;-0.0013197886;6948.4609
0.027651878;-0.0010238816;7322.8193
0.027988978;-0.00072800368;7734.0728
0.028326577;-0.00043215408;7580.6938
0.019899528;-0.0016183577;7532.8511
0.020236507;-0.001914205;7470.9888
0.020910373;-0.0025057569;7640.5508
0.02124727;-0.0028014712;7714.1387
0.025291465;-0.0027997978;7743.7725
0.025628699;-0.002503854;7720.4692
0.025965959;-0.0022078636;7444.0107
0.026303209;-0.0019118852;7397.2222
0.026640441;-0.0016159257;7306.6836
0.026977647;-0.0013199904;6909.7388
0.027314812;-0.0010240726;7184.52
0.027651934;-0.00072818343;7626.5874
0.027989013;-0.0004323246;7484.9224
0.020236677;-0.0016182796;7523.5356
0.020573627;-0.00191411;7492.2085
0.021247447;-0.0025056317;7646.6943
0.02158433;-0.0028013326;7717.9229
0.024954442;-0.0027999484;7745.5195
0.025291601;-0.0025040726;7719.6504
0.025628854;-0.0022080899;7429.7603
0.025966104;-0.0019121044;7448.7559
0.02630334;-0.0016161338;7312.3916
0.026640559;-0.001320187;6902.9727
0.026977744;-0.0010242596;7131.5771
0.027314886;-0.00072835805;7560.7124
0.027651992;-0.00043248764;7403.4614
0.020573799;-0.0016182016;7514.769
0.020910723;-0.001914015;7484.6636
0.021584503;-0.0025055064;7645.9692
0.021921374;-0.0028011941;7719.4458
0.024617447;-0.002800087;7740.1299
0.024954546;-0.0025042458;7716.2549
0.025291767;-0.0022083139;7430.0039
0.025629012;-0.0019123212;7421.9443
