x;y;z;total-temperature
0.01561142;-0.0043825875;-0.0043825875;323.10583
0.01561295;-0.0045383885;-0.0045383885;323.20361
0.015736138;-0.0046008667;-0.0046008667;323.25616
0.015779426;-0.0046100826;-0.0046100826;323.25616
0.015565756;-0.004448982;-0.004448982;323.16327
0.015407592;-0.0043827514;-0.0043827514;323.1073
0.015455804;-0.0044490951;-0.0044490951;323.164
0.015641164;-0.004616844;-0.004616844;323.25674
0.015589497;-0.0045872671;-0.0045872671;323.25674
0.015522343;-0.0044006165;-0.0044006165;323.20609
0.015499827;-0.0044820872;-0.0044820872;323.20609
0.015339092;-0.0044311862;-0.0044311862;323.08868
0.015416873;-0.0045385589;-0.0045385589;323.20471
0.015501752;-0.0045793508;-0.0045793508;323.26947
0.01551978;-0.0045951493;-0.0045951493;323.26947
0.015346444;-0.0045055482;-0.0045055482;323.17407
0.015277344;-0.0043807477;-0.0043807477;323.10553
0.015442849;-0.004611758;-0.004611758;323.25543
0.015401994;-0.0046039582;-0.0046039582;323.25543
0.015279404;-0.0045358497;-0.0045358497;323.20251
0.015232526;-0.0044443831;-0.0044443831;323.16153
0.015308958;-0.0046187588;-0.0046187588;323.25531
0.015256797;-0.0045836605;-0.0045836605;323.25531
0.015190776;-0.0043939692;-0.0043939692;323.20477
0.01516552;-0.0044747298;-0.0044747298;323.20477
0.015120651;-0.0044444981;-0.0044444981;323.16245
0.015073519;-0.0043809121;-0.0043809121;323.10791
0.015164703;-0.004572975;-0.004572975;323.26852
0.01518466;-0.0045904638;-0.0045904638;323.26852
0.015081611;-0.0045374446;-0.0045374446;323.2041
0.015003358;-0.0044313949;-0.0044313949;323.09106
0.015068288;-0.0046016765;-0.0046016765;323.25446
0.01510651;-0.0046069752;-0.0046069752;323.25446
0.015012261;-0.0045071915;-0.0045071915;323.17484
0.014977925;-0.0046198661;-0.0046198661;323.25522
0.014925796;-0.0045861644;-0.0045861644;323.25522
0.014946811;-0.0045377226;-0.0045377226;323.20337
0.014147405;-0.0045822598;-0.0045822598;323.18872
0.014165144;-0.004597764;-0.004597764;323.18872
0.014832821;-0.0045742751;-0.0045742751;323.26764
0.014853236;-0.0045921649;-0.0045921649;323.26764
0.014136695;-0.0045237984;-0.0045237984;323.17279
0.014157114;-0.0044808281;-0.0044808281;323.17279
0.014229208;-0.0045036492;-0.0045036492;323.1781
0.014806785;-0.0045258813;-0.0045258813;323.20206
0.014848217;-0.0044953288;-0.0044953288;323.20206
0.014754494;-0.0045374897;-0.0045374897;323.20569
0.014226531;-0.0045621241;-0.0045621241;323.20453
0.014270174;-0.0046012052;-0.0046012052;323.20453
0.01474866;-0.0046010031;-0.0046010031;323.2532
0.014780526;-0.0046073273;-0.0046073273;323.2532
0.014160476;-0.0043423907;-0.0043423907;323.16977
0.014139098;-0.0043901545;-0.0043901545;323.16977
0.014244539;-0.0044392049;-0.0044392049;323.19339
0.01427497;-0.0044666925;-0.0044666925;323.19339
0.014847003;-0.0043981313;-0.0043981313;323.15115
0.014790644;-0.0044315341;-0.0044315341;323.15115
0.014684011;-0.0045070071;-0.0045070071;323.17545
0.014365339;-0.0045839185;-0.0045839185;323.22556
0.014416856;-0.0046186307;-0.0046186307;323.22556
0.014652655;-0.0046190359;-0.0046190359;323.25467
0.014588527;-0.0045876591;-0.0045876591;323.25467
0.014287601;-0.0044009066;-0.0044009066;323.17218
